Sample ID,Date,Survey,Site,Source,PO4,SiO2,NO3+NO2,Lat,Long
NUT9567,2018-03-31,RVRS,DFO2,M,1.557,32.477,19.041,51.5208,-127.5583
NUT9568,2018-03-31,RVRS,DFO2,M,1.807,38.838,22.675,51.5208,-127.5583
NUT9569,2018-03-31,RVRS,DFO2,M,2.010,46.925,26.398,51.5208,-127.5583
NUT9592,2017-12-06,RVRS,DFO2,M,1.627,39.783,20.845,51.5208,-127.5583
NUT9593,2017-12-06,RVRS,DFO2,M,1.667,40.548,21.686,51.5208,-127.5583
NUT9594,2017-12-06,RVRS,DFO2,M,1.729,39.522,22.191,51.5208,-127.5583
NUT9596,2017-12-06,RVRS,DFO2,M,1.673,38.898,22.493,51.5208,-127.5583
NUT9598,2017-12-06,RVRS,DFO2,M,1.801,38.305,22.427,51.5208,-127.5583
NUT9611,2017-12-06,RVRS,DFO2,M,1.815,37.664,22.482,51.5208,-127.5583
NUT9612,2017-12-06,RVRS,DFO2,M,2.316,55.334,28.467,51.5208,-127.5583
NUT9613,2017-12-06,RVRS,DFO2,M,2.306,55.498,28.354,51.5208,-127.5583
NUT9646,2018-01-12,RVRS,DFO2,M,1.452,33.352,19.561,51.5208,-127.5583
NUT9647,2018-01-12,RVRS,DFO2,M,1.517,32.996,19.520,51.5208,-127.5583
NUT9648,2018-01-12,RVRS,DFO2,M,1.279,33.282,19.503,51.5208,-127.5583
NUT9649,2018-01-12,RVRS,DFO2,M,1.388,31.087,18.799,51.5208,-127.5583
NUT9650,2018-01-12,RVRS,DFO2,M,1.424,28.199,17.434,51.5208,-127.5583
NUT9651,2018-01-12,RVRS,DFO2,M,1.517,30.317,18.732,51.5208,-127.5583
NUT9652,2018-01-12,RVRS,DFO2,M,2.294,53.775,28.571,51.5208,-127.5583
NUT9653,2018-01-12,RVRS,DFO2,M,2.349,54.636,29.063,51.5208,-127.5583
NUT9692,2018-02-20,RVRS,DFO2,M,1.446,34.032,18.663,51.5208,-127.5583
NUT9693,2018-02-20,RVRS,DFO2,M,1.464,33.423,18.694,51.5208,-127.5583
NUT9694,2018-02-20,RVRS,DFO2,M,1.461,33.055,19.129,51.5208,-127.5583
NUT9695,2018-02-20,RVRS,DFO2,M,1.525,31.761,19.310,51.5208,-127.5583
NUT9696,2018-02-20,RVRS,DFO2,M,1.549,34.439,20.448,51.5208,-127.5583
NUT9697,2018-02-20,RVRS,DFO2,M,1.575,33.859,20.074,51.5208,-127.5583
NUT9698,2018-02-20,RVRS,DFO2,M,2.267,53.478,28.361,51.5208,-127.5583
NUT9699,2018-02-20,RVRS,DFO2,M,2.398,55.824,29.098,51.5208,-127.5583
NUT9844,2018-03-31,RVRS,DFO2,M,2.343,52.961,28.265,51.5208,-127.5583
NUT9879,2018-04-25,RVRS,DFO2,M,0.120,23.160,0.969,51.5208,-127.5583
NUT9880,2018-04-25,RVRS,DFO2,M,0.426,17.458,3.960,51.5208,-127.5583
NUT9881,2018-04-25,RVRS,DFO2,M,1.151,23.582,13.206,51.5208,-127.5583
NUT9882,2018-04-25,RVRS,DFO2,M,1.382,27.546,15.750,51.5208,-127.5583
NUT9883,2018-04-25,RVRS,DFO2,M,1.504,30.129,17.446,51.5208,-127.5583
NUT9884,2018-04-25,RVRS,DFO2,M,1.424,28.344,16.554,51.5208,-127.5583
NUT9885,2018-04-25,RVRS,DFO2,M,1.768,37.185,21.495,51.5208,-127.5583
NUT9886,2018-04-25,RVRS,DFO2,M,2.165,48.388,25.936,51.5208,-127.5583
NUT9887,2018-04-25,RVRS,DFO2,M,2.412,56.023,27.558,51.5208,-127.5583
NUT8402,2017-05-01,RVRS,DFO5,M,1.328,27.573,16.722,51.6773,-127.3122
NUT8403,2017-05-01,RVRS,DFO5,M,1.461,29.633,18.115,51.6773,-127.3122
NUT8404,2017-05-01,RVRS,DFO5,M,1.972,42.459,23.521,51.6773,-127.3122
NUT8405,2017-05-01,RVRS,DFO5,M,2.444,53.807,26.818,51.6773,-127.3122
NUT8490,2017-05-22,RVRS,DFO5,M,0.067,3.810,0.328,51.6773,-127.3122
NUT8491,2017-05-22,RVRS,DFO5,M,0.534,6.145,4.680,51.6773,-127.3122
NUT8492,2017-05-22,RVRS,DFO5,M,0.752,7.466,5.943,51.6773,-127.3122
NUT8494,2017-05-22,RVRS,DFO5,M,1.447,28.586,18.180,51.6773,-127.3122
NUT8495,2017-05-22,RVRS,DFO5,M,1.478,29.079,18.350,51.6773,-127.3122
NUT8496,2017-05-22,RVRS,DFO5,M,1.857,37.538,22.236,51.6773,-127.3122
NUT8497,2017-05-22,RVRS,DFO5,M,1.849,40.794,22.752,51.6773,-127.3122
NUT8498,2017-05-22,RVRS,DFO5,M,2.197,49.508,26.599,51.6773,-127.3122
NUT8575,2017-06-11,RVRS,DFO5,M,0.031,42.529,3.438,51.6773,-127.3122
NUT8576,2017-06-11,RVRS,DFO5,M,0.404,4.743,3.940,51.6773,-127.3122
NUT8577,2017-06-11,RVRS,DFO5,M,0.706,5.077,5.544,51.6773,-127.3122
NUT8578,2017-06-11,RVRS,DFO5,M,1.255,19.734,14.909,51.6773,-127.3122
NUT8579,2017-06-11,RVRS,DFO5,M,1.447,28.577,18.265,51.6773,-127.3122
NUT8580,2017-06-11,RVRS,DFO5,M,1.560,30.981,19.000,51.6773,-127.3122
NUT8581,2017-06-11,RVRS,DFO5,M,2.027,44.567,24.044,51.6773,-127.3122
NUT8582,2017-06-11,RVRS,DFO5,M,2.320,53.070,26.584,51.6773,-127.3122
NUT8583,2017-06-11,RVRS,DFO5,M,2.322,53.966,26.610,51.6773,-127.3122
NUT8671,2017-07-03,RVRS,DFO5,M,0.045,33.410,2.921,51.6773,-127.3122
NUT8672,2017-07-03,RVRS,DFO5,M,0.726,12.367,8.927,51.6773,-127.3122
NUT8673,2017-07-03,RVRS,DFO5,M,1.047,14.993,12.749,51.6773,-127.3122
NUT8674,2017-07-03,RVRS,DFO5,M,1.396,27.805,18.298,51.6773,-127.3122
NUT8675,2017-07-03,RVRS,DFO5,M,1.530,30.687,19.345,51.6773,-127.3122
NUT8676,2017-07-03,RVRS,DFO5,M,1.715,35.559,21.196,51.6773,-127.3122
NUT8677,2017-07-03,RVRS,DFO5,M,2.139,47.750,25.983,51.6773,-127.3122
NUT8678,2017-07-03,RVRS,DFO5,M,2.301,52.850,27.328,51.6773,-127.3122
NUT8679,2017-07-03,RVRS,DFO5,M,2.411,55.793,28.001,51.6773,-127.3122
NUT8816,2017-07-23,RVRS,DFO5,M,0.056,38.530,2.635,51.6773,-127.3122
NUT8817,2017-07-23,RVRS,DFO5,M,0.199,8.042,1.439,51.6773,-127.3122
NUT8818,2017-07-23,RVRS,DFO5,M,0.542,4.466,5.271,51.6773,-127.3122
NUT8819,2017-07-23,RVRS,DFO5,M,1.227,18.616,14.487,51.6773,-127.3122
NUT8820,2017-07-23,RVRS,DFO5,M,1.258,26.095,17.889,51.6773,-127.3122
NUT8821,2017-07-23,RVRS,DFO5,M,1.699,33.723,20.532,51.6773,-127.3122
NUT8822,2017-07-23,RVRS,DFO5,M,2.268,51.753,27.384,51.6773,-127.3122
NUT8823,2017-07-23,RVRS,DFO5,M,2.334,54.188,27.891,51.6773,-127.3122
NUT8824,2017-07-23,RVRS,DFO5,M,2.201,49.232,27.462,51.6773,-127.3122
NUT8877,2017-08-10,RVRS,DFO5,M,0.070,37.736,2.282,51.6773,-127.3122
NUT8878,2017-08-10,RVRS,DFO5,M,1.130,16.584,13.672,51.6773,-127.3122
NUT8879,2017-08-10,RVRS,DFO5,M,1.390,24.252,17.484,51.6773,-127.3122
NUT8880,2017-08-10,RVRS,DFO5,M,1.539,29.017,19.186,51.6773,-127.3122
NUT8881,2017-08-10,RVRS,DFO5,M,1.624,31.930,20.130,51.6773,-127.3122
NUT8882,2017-08-10,RVRS,DFO5,M,1.839,38.336,22.493,51.6773,-127.3122
NUT8883,2017-08-10,RVRS,DFO5,M,2.472,58.118,28.830,51.6773,-127.3122
NUT8884,2017-08-10,RVRS,DFO5,M,2.196,49.864,28.255,51.6773,-127.3122
NUT8885,2017-08-10,RVRS,DFO5,M,2.238,51.513,28.474,51.6773,-127.3122
NUT8994,2017-09-07,RVRS,DFO5,M,0.105,34.822,2.362,51.6773,-127.3122
NUT8995,2017-09-07,RVRS,DFO5,M,1.032,21.144,10.696,51.6773,-127.3122
NUT8996,2017-09-07,RVRS,DFO5,M,1.319,21.663,13.782,51.6773,-127.3122
NUT8997,2017-09-07,RVRS,DFO5,M,1.497,27.544,16.304,51.6773,-127.3122
NUT8998,2017-09-07,RVRS,DFO5,M,1.680,33.081,17.635,51.6773,-127.3122
NUT8999,2017-09-07,RVRS,DFO5,M,1.807,37.498,19.226,51.6773,-127.3122
NUT9400,2017-09-07,RVRS,DFO5,M,2.405,56.181,24.312,51.6773,-127.3122
NUT9401,2017-09-07,RVRS,DFO5,M,2.174,50.680,23.945,51.6773,-127.3122
NUT9402,2017-09-07,RVRS,DFO5,M,2.301,53.321,24.297,51.6773,-127.3122
NUT9475,2017-09-25,RVRS,DFO5,M,0.472,32.105,5.967,51.6773,-127.3122
NUT9476,2017-09-25,RVRS,DFO5,M,1.440,25.487,16.311,51.6773,-127.3122
NUT9477,2017-09-25,RVRS,DFO5,M,1.572,27.562,17.683,51.6773,-127.3122
NUT9478,2017-09-25,RVRS,DFO5,M,1.712,32.218,18.926,51.6773,-127.3122
NUT9479,2017-09-25,RVRS,DFO5,M,1.764,33.625,19.544,51.6773,-127.3122
NUT9480,2017-09-25,RVRS,DFO5,M,1.888,38.382,20.906,51.6773,-127.3122
NUT9481,2017-09-25,RVRS,DFO5,M,2.274,46.795,27.850,51.6773,-127.3122
NUT9482,2017-09-25,RVRS,DFO5,M,2.263,49.713,25.495,51.6773,-127.3122
NUT9483,2017-09-25,RVRS,DFO5,M,2.218,49.494,25.607,51.6773,-127.3122
NUT9853,2018-04-01,RVRS,DFO5,M,0.010,15.210,0.314,51.6773,-127.3122
NUT9854,2018-04-01,RVRS,DFO5,M,0.780,17.677,7.467,51.6773,-127.3122
NUT9855,2018-04-01,RVRS,DFO5,M,1.431,28.835,17.179,51.6773,-127.3122
NUT9856,2018-04-01,RVRS,DFO5,M,1.534,33.557,20.188,51.6773,-127.3122
